ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,10-20,CT,Cowpea,-0.6633755919779487,0.4323518880533376,-0.6993624005137449,-0.14981089999696673,0.04456679620166716,10.4,0.354546162521195,1.88,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,10-20,CT,Cowpea,-0.4508060522465133,0.5789129166229079,-0.6993624005137449,-0.2914567490427931,0.04456679620166716,6.9,0.35454616252119453,1.7,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,10-20,CT,Cowpea,-0.782804779221736,0.5708958667432316,-0.6993624005137449,-0.2303484734588637,-0.20535292802919047,5.8,0.35454616252119453,1.88,50.2,18.8,14500.0,14833.333333333334,6333.333333333333,1466.6666666666667,6333.333333333333
,10-20,CT,Cowpea,-0.7971909294310444,0.4782638527488834,-0.3884031462870289,-0.11565294082441098,-0.02975458900398286,12.6,-1.8195576642597089,2.0,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,10-20,CT,Cowpea,-0.48463503715538303,0.7411890641873866,-0.3884031462870289,-0.1745675860027646,-0.06536335030895359,7.8,-1.8195576642597089,1.85,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,10-20,CT,Cowpea,-0.5808539674261589,0.5431020094680681,-0.3884031462870289,-0.10186440684649868,-0.1009721116139244,6.3,-1.8195576642597089,1.8,54.8,17.4,14500.0,14166.666666666666,6666.666666666667,1816.6666666666667,6666.666666666667
,10-20,CT,Cowpea,-0.4063468439224859,0.7407212257328699,-0.562033873247689,-0.09089625481861321,-0.13262882276321483,10.533,-1.036880286618584,2.0,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
,10-20,CT,Cowpea,-0.7331549198602362,0.5579239823225355,-0.562033873247689,-0.07084020539619558,-0.141444934648965,10.533,-1.036880286618584,2.15,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
,10-20,CT,Cowpea,-0.7894920532372192,0.6041336623982285,-0.562033873247689,-0.05548479255715657,-0.15330108511600904,10.533,-1.036880286618584,2.0,54.2,18.2,20166.666666666668,20666.666666666668,12000.0,2900.0,12000.0
,10-20,CT,Millet,-0.8284542117870647,0.4517671839157895,-0.04888030237796512,-0.05548479255715657,-0.06704964795294104,17.7,-0.3411670620486952,1.8,50.8,18.0,14500.0,13500.0,3333.3333333333335,733.3333333333334,3333.3333333333335
