depth_tag;target;algo;params;ok;reason;n;k_used;cv_group;rmse;rmse_std;r2;r2_std
dados_010;dmp;gbr;"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.6282937020849404;0.13770082813000512;0.07667971191409466;0.6694592165587095
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300}";True;;108;3;parcela;0.6931403595172821;0.1543615736839048;-0.1075101850080838;0.7860639369013931
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 300}";True;;108;3;parcela;0.633364999342373;0.12275653282653182;0.003835336144438539;0.7821444321939695
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.6930578840487085;0.1531695668267104;-0.11217742823628862;0.7946571960499832
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 600}";True;;108;3;parcela;0.6336154854912524;0.12291629202997778;0.003663641386888683;0.7816939439735904
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 900}";True;;108;3;parcela;0.6939267527567501;0.15270626691015263;-0.11743892287257285;0.8010444083499824
dados_010;dmp;gbr;"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 900}";True;;108;3;parcela;0.6336205926989191;0.1229272925879398;0.00368626236932316;0.7816390202823099
dados_010;rmp;ridge;"{""alpha"": 0.0}";True;;108;3;parcela;0.5092369991612695;0.11404028320496087;-0.007884640566188908;0.9673745792098992
dados_010;rmp;ridge;"{""alpha"": 0.01}";True;;108;3;parcela;0.5092708345658846;0.11391833546119277;-0.008525122556347334;0.9683416990651404
dados_010;rmp;ridge;"{""alpha"": 0.1}";True;;108;3;parcela;0.5095800522738019;0.11282426925848221;-0.014299598104069148;0.9770477579047288
dados_010;rmp;ridge;"{""alpha"": 1.0}";True;;108;3;parcela;0.5129953893916336;0.10224377740224037;-0.07270832239457414;1.064085974089639
dados_010;rmp;ridge;"{""alpha"": 10.0}";True;;108;3;parcela;0.5505692640935119;0.033257823453917194;-0.6349670008514344;1.866233177735011
dados_010;rmp;ridge;"{""alpha"": 100.0}";True;;108;3;parcela;0.7754483701532383;0.05713528404735627;-2.8221498079427234;4.5966422550505115
dados_010;rmp;rf;"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.205883122448963;0.0482630737959697;0.796232293436295;0.2194661280565062
