depth_tag;target;ok;reason;n;alpha;k;cv_group;rmse;rmse_std;r2;r2_std;train_rmse;train_r2;flags
dados_010;densidade;True;;108;10.0;3;parcela;0.4924688663584802;0.08911023205639548;-2.1673726670219975;4.200898501732466;0.22862688962250297;0.9508362603856579;
dados_010;dmp;True;;108;100.0;3;parcela;1.02568693715982;0.04041641313870828;-2.7480709800027934;3.9616757073248903;0.7473395412554203;0.443968009903433;
dados_010;n_espigas_com;True;;108;0.0;3;parcela;7.85445271085564e-12;5.377174659055473e-12;1.0;0.0;7.111159914498166e-12;1.0;
dados_010;peso_espigas;True;;108;0.1;3;parcela;214.55385156604825;45.20039575311942;0.8252432110654211;0.0860179915147671;148.15947163464588;0.9671981412945526;
dados_010;rmp;True;;108;1.0;3;parcela;0.5129953893916336;0.10224377740224037;-0.07270832239457414;1.064085974089639;0.33140562715260913;0.873021328474522;
dados_1020;densidade;True;;108;10.0;3;parcela;0.43489635294188206;0.13966716990889658;-1.6262445837155066;3.4561904398170125;0.26909586008666825;0.9322159388848263;
dados_1020;dmp;True;;108;100.0;3;parcela;1.6221740431511196;0.20418720478022934;-6.139493164094211;0.5224964891408546;0.8548806308184935;0.29209965694395734;
dados_1020;n_espigas_com;True;;108;0.0;3;parcela;1.234696733797496e-11;1.1536632975345364e-11;1.0;0.0;6.2006533229765354e-12;1.0;
dados_1020;peso_espigas;True;;108;0.1;3;parcela;225.14461435839988;38.9172845959134;0.8061985623306785;0.09640108463897726;149.1246746691187;0.9667693657169848;
dados_1020;rmp;True;;108;100.0;3;parcela;1.0605720287799025;0.09347456170127605;-0.4330954503785518;0.40999518393949735;0.8514850401193715;0.2088131581521645;
