ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,NT,Pigeon pea,4.396556610752576,3.1530982246592427,3.774827417705909,-0.22488500873682,-0.2560296253738326,10.533,-0.3411670620486952,1.77,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667
,0-10,MT,Cowpea,2.298569612760787,2.4419264174745683,2.370248015117678,-0.3842614681067057,-0.26745125537185593,5.4,0.2675820094499583,2.1,52.2,24.2,12500.0,13333.333333333334,10500.0,2833.3333333333335,10500.0
,0-10,MT,Cowpea,1.093499683862084,1.833783008880858,1.463641346371471,-0.35531349895584824,-0.23209386163884366,4.2,0.2675820094499583,2.15,52.2,24.2,12500.0,13333.333333333334,10500.0,2833.3333333333335,10500.0
,0-10,MT,Cowpea,-0.4343759436758426,-0.37772458978676293,-0.40605026673130273,-0.37580475801769075,-0.25712212911277355,38.5,0.2675820094499583,2.1,52.2,24.2,12500.0,13333.333333333334,10500.0,2833.3333333333335,10500.0
,0-10,MT,Cowpea,-0.5172791645262581,-0.7446246020455818,-0.63095188328592,0.23860775575723633,0.5557552778465658,8.4,1.311151846304792,2.3,48.0,22.0,13333.333333333334,13666.666666666666,11000.0,2916.6666666666665,11000.0
,0-10,MT,Cowpea,-0.607356615200827,-0.9177721813526262,-0.7625643982767265,-0.23984688043276933,-0.0602893721468343,9.1,1.311151846304792,2.2,48.0,22.0,13333.333333333334,13666.666666666666,11000.0,2916.6666666666665,11000.0
,0-10,MT,Cowpea,1.5741120410289884,2.1394776893843885,1.8567948652066883,-0.29514075409170865,-0.13148419913451426,38.5,1.311151846304792,2.1,48.0,22.0,13333.333333333334,13666.666666666666,11000.0,2916.6666666666665,11000.0
,0-10,MT,Cowpea,0.04860907531441404,0.3055584609939081,0.17708376815416108,-0.04371625798370406,0.14176422844429046,10.533,0.1806178563787221,2.1,52.02,22.0,14166.666666666666,14333.333333333334,8500.0,2083.3333333333335,8500.0
,0-10,MT,Cowpea,-0.44038702847730327,-0.6610383587002915,-0.5507126935887974,-0.1227539715079541,0.04603110535650812,10.533,0.1806178563787221,2.08,52.02,22.0,14166.666666666666,14333.333333333334,8500.0,2083.3333333333335,8500.0
,0-10,MT,Cowpea,0.12866664349774434,0.5779133328300096,0.35328998816387697,-0.09283022811605754,0.08227574455023702,10.533,0.1806178563787221,2.0,52.02,22.0,14166.666666666666,14333.333333333334,8500.0,2083.3333333333335,8500.0
,0-10,MT,Millet,0.7696804002898036,1.4994540406730408,1.1345672204814221,-0.3410021434205938,-0.12199928031006846,5.4,-1.471701051974765,2.1,51.6,22.8,12000.0,11333.333333333334,8833.333333333334,2300.0,8833.333333333334
,0-10,MT,Millet,-0.04651951744196763,0.46402671486491176,0.20875359871147206,-0.37255217721422457,-0.1685631139107074,6.4,-1.471701051974765,2.1,51.6,22.8,12000.0,11333.333333333334,8833.333333333334,2300.0,8833.333333333334
,0-10,MT,Millet,1.980571400652084,2.3499668869907824,2.1652691438214333,-0.2518814294055968,0.00953154862369361,32.7,-1.471701051974765,2.0,51.6,22.8,12000.0,11333.333333333334,8833.333333333334,2300.0,8833.333333333334
